2023-03-29 20:21:56,414 - __main__ - INFO - Testing for participant 1.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,437 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,447 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,068 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:24:47,279 - brainiak.fcma.voxelselector - INFO - in rank 1, task 123 takes 1.26 s
2023-03-29 20:24:48,539 - brainiak.fcma.voxelselector - INFO - in rank 1, task 124 takes 1.26 s
2023-03-29 20:24:49,800 - brainiak.fcma.voxelselector - INFO - in rank 1, task 125 takes 1.26 s
2023-03-29 20:24:51,060 - brainiak.fcma.voxelselector - INFO - in rank 1, task 126 takes 1.26 s
2023-03-29 20:24:52,321 - brainiak.fcma.voxelselector - INFO - in rank 1, task 127 takes 1.26 s
2023-03-29 20:24:53,583 - brainiak.fcma.voxelselector - INFO - in rank 1, task 128 takes 1.26 s
2023-03-29 20:24:54,845 - brainiak.fcma.voxelselector - INFO - in rank 1, task 129 takes 1.26 s
2023-03-29 20:24:56,106 - brainiak.fcma.voxelselector - INFO - in rank 1, task 130 takes 1.26 s
2023-03-29 20:24:57,366 - brainiak.fcma.voxelselector - INFO - in rank 1, task 131 takes 1.26 s
2023-03-29 20:24:58,627 - brainiak.fcma.voxelselector - INFO - in rank 1, task 132 takes 1.26 s
2023-03-29 20:24:59,888 - brainiak.fcma.voxelselector - INFO - in rank 1, task 133 takes 1.26 s
2023-03-29 20:25:01,150 - brainiak.fcma.voxelselector - INFO - in rank 1, task 134 takes 1.26 s
2023-03-29 20:25:02,411 - brainiak.fcma.voxelselector - INFO - in rank 1, task 135 takes 1.26 s
2023-03-29 20:25:03,669 - brainiak.fcma.voxelselector - INFO - in rank 1, task 136 takes 1.26 s
2023-03-29 20:25:04,929 - brainiak.fcma.voxelselector - INFO - in rank 1, task 137 takes 1.26 s
2023-03-29 20:25:06,187 - brainiak.fcma.voxelselector - INFO - in rank 1, task 138 takes 1.26 s
2023-03-29 20:25:07,447 - brainiak.fcma.voxelselector - INFO - in rank 1, task 139 takes 1.26 s
2023-03-29 20:25:08,707 - brainiak.fcma.voxelselector - INFO - in rank 1, task 140 takes 1.26 s
2023-03-29 20:25:09,968 - brainiak.fcma.voxelselector - INFO - in rank 1, task 141 takes 1.26 s
2023-03-29 20:25:11,230 - brainiak.fcma.voxelselector - INFO - in rank 1, task 142 takes 1.26 s
2023-03-29 20:25:12,490 - brainiak.fcma.voxelselector - INFO - in rank 1, task 143 takes 1.26 s
2023-03-29 20:25:13,751 - brainiak.fcma.voxelselector - INFO - in rank 1, task 144 takes 1.26 s
2023-03-29 20:25:15,011 - brainiak.fcma.voxelselector - INFO - in rank 1, task 145 takes 1.26 s
2023-03-29 20:25:16,274 - brainiak.fcma.voxelselector - INFO - in rank 1, task 146 takes 1.26 s
2023-03-29 20:25:17,536 - brainiak.fcma.voxelselector - INFO - in rank 1, task 147 takes 1.26 s
2023-03-29 20:25:18,797 - brainiak.fcma.voxelselector - INFO - in rank 1, task 148 takes 1.26 s
2023-03-29 20:25:20,058 - brainiak.fcma.voxelselector - INFO - in rank 1, task 149 takes 1.26 s
2023-03-29 20:25:21,316 - brainiak.fcma.voxelselector - INFO - in rank 1, task 150 takes 1.26 s
2023-03-29 20:25:22,576 - brainiak.fcma.voxelselector - INFO - in rank 1, task 151 takes 1.26 s
2023-03-29 20:25:23,847 - brainiak.fcma.voxelselector - INFO - in rank 1, task 152 takes 1.27 s
2023-03-29 20:25:25,108 - brainiak.fcma.voxelselector - INFO - in rank 1, task 153 takes 1.26 s
2023-03-29 20:25:26,369 - brainiak.fcma.voxelselector - INFO - in rank 1, task 154 takes 1.26 s
2023-03-29 20:25:27,632 - brainiak.fcma.voxelselector - INFO - in rank 1, task 155 takes 1.26 s
2023-03-29 20:25:28,893 - brainiak.fcma.voxelselector - INFO - in rank 1, task 156 takes 1.26 s
2023-03-29 20:25:30,155 - brainiak.fcma.voxelselector - INFO - in rank 1, task 157 takes 1.26 s
2023-03-29 20:25:31,416 - brainiak.fcma.voxelselector - INFO - in rank 1, task 158 takes 1.26 s
2023-03-29 20:25:32,676 - brainiak.fcma.voxelselector - INFO - in rank 1, task 159 takes 1.26 s
2023-03-29 20:25:33,937 - brainiak.fcma.voxelselector - INFO - in rank 1, task 160 takes 1.26 s
2023-03-29 20:25:35,198 - brainiak.fcma.voxelselector - INFO - in rank 1, task 161 takes 1.26 s
2023-03-29 20:25:36,461 - brainiak.fcma.voxelselector - INFO - in rank 1, task 162 takes 1.26 s
2023-03-29 20:25:37,721 - brainiak.fcma.voxelselector - INFO - in rank 1, task 163 takes 1.26 s
2023-03-29 20:25:38,982 - brainiak.fcma.voxelselector - INFO - in rank 1, task 164 takes 1.26 s
2023-03-29 20:25:40,242 - brainiak.fcma.voxelselector - INFO - in rank 1, task 165 takes 1.26 s
2023-03-29 20:25:41,501 - brainiak.fcma.voxelselector - INFO - in rank 1, task 166 takes 1.26 s
2023-03-29 20:25:42,762 - brainiak.fcma.voxelselector - INFO - in rank 1, task 167 takes 1.26 s
2023-03-29 20:25:44,024 - brainiak.fcma.voxelselector - INFO - in rank 1, task 168 takes 1.26 s
2023-03-29 20:25:45,286 - brainiak.fcma.voxelselector - INFO - in rank 1, task 169 takes 1.26 s
2023-03-29 20:25:46,547 - brainiak.fcma.voxelselector - INFO - in rank 1, task 170 takes 1.26 s
2023-03-29 20:25:47,808 - brainiak.fcma.voxelselector - INFO - in rank 1, task 171 takes 1.26 s
2023-03-29 20:25:49,068 - brainiak.fcma.voxelselector - INFO - in rank 1, task 172 takes 1.26 s
2023-03-29 20:25:50,328 - brainiak.fcma.voxelselector - INFO - in rank 1, task 173 takes 1.26 s
2023-03-29 20:25:51,590 - brainiak.fcma.voxelselector - INFO - in rank 1, task 174 takes 1.26 s
2023-03-29 20:25:52,853 - brainiak.fcma.voxelselector - INFO - in rank 1, task 175 takes 1.26 s
2023-03-29 20:25:54,114 - brainiak.fcma.voxelselector - INFO - in rank 1, task 176 takes 1.26 s
2023-03-29 20:25:55,376 - brainiak.fcma.voxelselector - INFO - in rank 1, task 177 takes 1.26 s
2023-03-29 20:25:56,637 - brainiak.fcma.voxelselector - INFO - in rank 1, task 178 takes 1.26 s
2023-03-29 20:25:57,901 - brainiak.fcma.voxelselector - INFO - in rank 1, task 179 takes 1.26 s
2023-03-29 20:25:59,160 - brainiak.fcma.voxelselector - INFO - in rank 1, task 180 takes 1.26 s
2023-03-29 20:26:00,422 - brainiak.fcma.voxelselector - INFO - in rank 1, task 181 takes 1.26 s
2023-03-29 20:26:01,683 - brainiak.fcma.voxelselector - INFO - in rank 1, task 182 takes 1.26 s
2023-03-29 20:26:02,943 - brainiak.fcma.voxelselector - INFO - in rank 1, task 183 takes 1.26 s
2023-03-29 20:26:04,204 - brainiak.fcma.voxelselector - INFO - in rank 1, task 184 takes 1.26 s
2023-03-29 20:26:05,464 - brainiak.fcma.voxelselector - INFO - in rank 1, task 185 takes 1.26 s
2023-03-29 20:26:06,725 - brainiak.fcma.voxelselector - INFO - in rank 1, task 186 takes 1.26 s
2023-03-29 20:26:07,986 - brainiak.fcma.voxelselector - INFO - in rank 1, task 187 takes 1.26 s
2023-03-29 20:26:09,248 - brainiak.fcma.voxelselector - INFO - in rank 1, task 188 takes 1.26 s
2023-03-29 20:26:10,509 - brainiak.fcma.voxelselector - INFO - in rank 1, task 189 takes 1.26 s
2023-03-29 20:26:11,772 - brainiak.fcma.voxelselector - INFO - in rank 1, task 190 takes 1.26 s
