2023-03-29 20:21:22,147 - __main__ - INFO - Testing for participant 0.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,179 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,189 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:21:22,151 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:27:14,203 - brainiak.fcma.voxelselector - INFO - in rank 1, task 188 takes 1.82 s
2023-03-29 20:27:16,007 - brainiak.fcma.voxelselector - INFO - in rank 1, task 189 takes 1.80 s
2023-03-29 20:27:17,812 - brainiak.fcma.voxelselector - INFO - in rank 1, task 190 takes 1.80 s
2023-03-29 20:27:19,619 - brainiak.fcma.voxelselector - INFO - in rank 1, task 191 takes 1.81 s
2023-03-29 20:27:21,423 - brainiak.fcma.voxelselector - INFO - in rank 1, task 192 takes 1.80 s
2023-03-29 20:27:23,254 - brainiak.fcma.voxelselector - INFO - in rank 1, task 193 takes 1.83 s
2023-03-29 20:27:25,088 - brainiak.fcma.voxelselector - INFO - in rank 1, task 194 takes 1.83 s
2023-03-29 20:27:26,888 - brainiak.fcma.voxelselector - INFO - in rank 1, task 195 takes 1.80 s
2023-03-29 20:27:28,707 - brainiak.fcma.voxelselector - INFO - in rank 1, task 196 takes 1.82 s
2023-03-29 20:27:30,513 - brainiak.fcma.voxelselector - INFO - in rank 1, task 197 takes 1.80 s
2023-03-29 20:27:32,318 - brainiak.fcma.voxelselector - INFO - in rank 1, task 198 takes 1.80 s
2023-03-29 20:27:34,140 - brainiak.fcma.voxelselector - INFO - in rank 1, task 199 takes 1.82 s
2023-03-29 20:27:35,946 - brainiak.fcma.voxelselector - INFO - in rank 1, task 200 takes 1.80 s
2023-03-29 20:27:37,751 - brainiak.fcma.voxelselector - INFO - in rank 1, task 201 takes 1.80 s
2023-03-29 20:27:39,572 - brainiak.fcma.voxelselector - INFO - in rank 1, task 202 takes 1.82 s
2023-03-29 20:27:41,379 - brainiak.fcma.voxelselector - INFO - in rank 1, task 203 takes 1.81 s
2023-03-29 20:27:43,203 - brainiak.fcma.voxelselector - INFO - in rank 1, task 204 takes 1.82 s
2023-03-29 20:27:45,011 - brainiak.fcma.voxelselector - INFO - in rank 1, task 205 takes 1.81 s
2023-03-29 20:27:46,818 - brainiak.fcma.voxelselector - INFO - in rank 1, task 206 takes 1.81 s
2023-03-29 20:27:48,639 - brainiak.fcma.voxelselector - INFO - in rank 1, task 207 takes 1.82 s
2023-03-29 20:27:50,446 - brainiak.fcma.voxelselector - INFO - in rank 1, task 208 takes 1.81 s
2023-03-29 20:27:52,250 - brainiak.fcma.voxelselector - INFO - in rank 1, task 209 takes 1.80 s
2023-03-29 20:27:54,076 - brainiak.fcma.voxelselector - INFO - in rank 1, task 210 takes 1.83 s
