2023-03-29 20:22:10,066 - __main__ - INFO - Testing for participant 2.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,069 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,098 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,103 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:26:28,363 - brainiak.fcma.voxelselector - INFO - in rank 1, task 198 takes 1.26 s
2023-03-29 20:26:29,620 - brainiak.fcma.voxelselector - INFO - in rank 1, task 199 takes 1.26 s
2023-03-29 20:26:30,877 - brainiak.fcma.voxelselector - INFO - in rank 1, task 200 takes 1.26 s
2023-03-29 20:26:32,135 - brainiak.fcma.voxelselector - INFO - in rank 1, task 201 takes 1.26 s
2023-03-29 20:26:33,391 - brainiak.fcma.voxelselector - INFO - in rank 1, task 202 takes 1.26 s
2023-03-29 20:26:34,648 - brainiak.fcma.voxelselector - INFO - in rank 1, task 203 takes 1.26 s
2023-03-29 20:26:35,905 - brainiak.fcma.voxelselector - INFO - in rank 1, task 204 takes 1.26 s
2023-03-29 20:26:37,162 - brainiak.fcma.voxelselector - INFO - in rank 1, task 205 takes 1.26 s
2023-03-29 20:26:38,420 - brainiak.fcma.voxelselector - INFO - in rank 1, task 206 takes 1.26 s
2023-03-29 20:26:39,677 - brainiak.fcma.voxelselector - INFO - in rank 1, task 207 takes 1.26 s
2023-03-29 20:26:40,945 - brainiak.fcma.voxelselector - INFO - in rank 1, task 208 takes 1.27 s
2023-03-29 20:26:42,202 - brainiak.fcma.voxelselector - INFO - in rank 1, task 209 takes 1.26 s
2023-03-29 20:26:43,456 - brainiak.fcma.voxelselector - INFO - in rank 1, task 210 takes 1.25 s
2023-03-29 20:26:44,709 - brainiak.fcma.voxelselector - INFO - in rank 1, task 211 takes 1.25 s
2023-03-29 20:26:45,965 - brainiak.fcma.voxelselector - INFO - in rank 1, task 212 takes 1.25 s
2023-03-29 20:26:47,221 - brainiak.fcma.voxelselector - INFO - in rank 1, task 213 takes 1.26 s
2023-03-29 20:26:48,479 - brainiak.fcma.voxelselector - INFO - in rank 1, task 214 takes 1.26 s
2023-03-29 20:26:49,736 - brainiak.fcma.voxelselector - INFO - in rank 1, task 215 takes 1.26 s
2023-03-29 20:26:50,994 - brainiak.fcma.voxelselector - INFO - in rank 1, task 216 takes 1.26 s
2023-03-29 20:26:52,250 - brainiak.fcma.voxelselector - INFO - in rank 1, task 217 takes 1.26 s
2023-03-29 20:26:53,509 - brainiak.fcma.voxelselector - INFO - in rank 1, task 218 takes 1.26 s
2023-03-29 20:26:54,767 - brainiak.fcma.voxelselector - INFO - in rank 1, task 219 takes 1.26 s
2023-03-29 20:26:56,024 - brainiak.fcma.voxelselector - INFO - in rank 1, task 220 takes 1.26 s
2023-03-29 20:26:57,282 - brainiak.fcma.voxelselector - INFO - in rank 1, task 221 takes 1.26 s
2023-03-29 20:26:58,538 - brainiak.fcma.voxelselector - INFO - in rank 1, task 222 takes 1.26 s
2023-03-29 20:26:59,795 - brainiak.fcma.voxelselector - INFO - in rank 1, task 223 takes 1.26 s
2023-03-29 20:27:01,053 - brainiak.fcma.voxelselector - INFO - in rank 1, task 224 takes 1.26 s
2023-03-29 20:27:02,309 - brainiak.fcma.voxelselector - INFO - in rank 1, task 225 takes 1.26 s
2023-03-29 20:27:03,560 - brainiak.fcma.voxelselector - INFO - in rank 1, task 226 takes 1.25 s
2023-03-29 20:27:04,814 - brainiak.fcma.voxelselector - INFO - in rank 1, task 227 takes 1.25 s
2023-03-29 20:27:06,070 - brainiak.fcma.voxelselector - INFO - in rank 1, task 228 takes 1.26 s
2023-03-29 20:27:07,328 - brainiak.fcma.voxelselector - INFO - in rank 1, task 229 takes 1.26 s
2023-03-29 20:27:08,585 - brainiak.fcma.voxelselector - INFO - in rank 1, task 230 takes 1.26 s
